gene_id	gene_short_name	GS-1_FPKM	GS-2_FPKM	GS-3_FPKM	CK-1_FPKM	CK-2_FPKM	CK-3_FPKM	M-1_FPKM	M-2_FPKM	M-3_FPKM	GS-1_count	GS-2_count	GS-3_count	CK-1_count	CK-2_count	CK-3_count	M-1_count	M-2_count	M-3_count
210757	Themis	1.20795	0.992419	1.29171	1.38463	2.2668	1.0494	1.87765	1.10019	0.952327	155.576	130.176	162.3	173.951	306.189	132.379	223.817	138.711	115.283
230787	Themis2	4.57832	8.43096	7.38608	6.76465	24.3028	4.5366	4.42922	3.82078	4.5228	355.056	652.868	572.322	528.366	1893.39	353.386	347.019	297.098	353.955
74556	Themis3	0.0878899	0.0735269	0.0458125	0.0172046	0.0335876	0.0618662	0.0572686	0.0181517	0.0504573	4.77226	3.97484	2.4406	0.930221	1.84451	3.36558	3.08005	0.983769	2.70195
66628	Thg1l	3.9374	5.25519	5.2552	4.15609	7.32297	4.50752	5.37516	5.04734	6.28513	101.172	135.145	134.233	106.975	191.829	115.552	137.576	128.874	161.216
208967	Thnsl1	3.9842	3.73883	3.86866	3.71732	3.269	4.18045	4.79938	4.53178	4.60257	428.549	388.541	377.073	391.623	357.835	440.891	482.542	473.193	445.821
232078	Thnsl2	5.18762	4.11403	3.57232	4.55877	4.00345	5.48861	4.70141	6.08163	6.54974	270.11	211.66	180.605	236.276	207.507	286.074	241.271	315.79	337.743
225160	Thoc1	8.64201	9.54566	8.97872	9.81842	9.25168	8.13846	9.63344	8.43336	9.13142	1162.52	1307.72	1171.49	1288.36	1309.6	1071.38	1203.27	1102.81	1160.94
331401	Thoc2	20.8551	21.1442	25.8031	20.5178	17.5573	20.9627	26.6016	21.7699	20.6404	5364.98	5574.72	6389.5	5159.01	4787.42	5294.06	6299.73	5540.59	5104.88
73666	Thoc3	9.54834	9.87774	8.75444	10.1989	11.0347	9.64904	9.15956	10.28	10.093	636.62	663.799	566.22	681.852	746.104	648.435	596.503	685.687	674.586
107829	Thoc5	9.27063	10.8418	9.85057	11.5064	12.056	9.90017	9.4853	9.49674	8.88443	695.796	812.855	741.944	866.966	918.566	748.281	717.652	720.119	684.493
386612	Thoc6	5.91821	6.30958	5.28368	5.99759	9.48381	4.51113	4.5331	5.44698	5.81087	188.027	196.755	165.961	190.695	296.966	144.72	145.79	173.144	185.534
66231	Thoc7	26.5246	29.6906	29.4557	28.6842	32.9508	30.1152	30.758	31.524	32.4082	691.978	772.113	748.045	730.224	878.909	762.865	760.773	811.609	829.498
50492	Thop1	5.13197	5.40608	4.73691	5.07333	5.90108	5.00116	4.58338	4.68849	5.52105	369.373	384.566	341.685	373.019	423.315	365.726	341.886	345.303	418.802
21832	Thpo	0.0855569	0.0739154	0.0900261	0.111979	0.0413731	0.067228	0.106487	0.104478	0.110653	5.72672	4.96855	6.10151	7.44177	2.76676	4.48744	7.18679	6.88638	7.20519
21833	Thra	29.2666	29.1325	21.029	27.9462	18.3839	28.9877	34.8644	33.0092	31.5514	1879.32	1865.19	1355.76	1813	1184.18	1882.48	2276.16	2133.8	2060.68
